customer_id,customer_name,email,phone,age,gender,acquisition_date,last_purchase_date,purchase_count,total_spent,product_category,acquisition_channel,city,customer_rating,customer_age_days,days_since_last_purchase,avg_order_value,recency_score,frequency_score,monetary_score,rfm_score,customer_segment,churned
CUST00001,Customer 1,customer1@email.com,9895822412,56,Male,2025-07-19,2026-01-17,1,3140.12,Books,Organic,Delhi,1.4,233,51,3140.12,3,1,2,312,Potential Loyalists,0
CUST00002,Customer 2,customer2@email.com,9824942603,69,Female,2025-04-23,2026-01-23,28,1948.27,Sports,Organic,Delhi,3.4,320,45,69.58107142857143,3,3,1,331,Champions,0
CUST00003,Customer 3,customer3@email.com,9813356886,46,Female,2025-06-28,2025-12-31,6,8401.92,Fashion,Organic,Delhi,4.7,254,68,1400.32,3,1,4,314,Potential Loyalists,0
CUST00004,Customer 4,customer4@email.com,9846913810,32,Female,2025-08-13,2025-12-12,47,7443.65,Fashion,Organic,Chennai,3.5,208,87,158.3755319148936,3,4,3,343,Champions,0
CUST00005,Customer 5,customer5@email.com,9842868828,60,Male,2024-07-20,2026-01-05,36,9315.29,Electronics,Paid Ads,Kolkata,1.1,597,63,258.7580555555556,3,3,4,334,Champions,0
CUST00006,Customer 6,customer6@email.com,9839958838,25,Female,2025-08-09,2026-01-17,11,1738.65,Sports,Email,Delhi,3.4,212,51,158.0590909090909,3,1,1,311,Potential Loyalists,0
CUST00007,Customer 7,customer7@email.com,9828728463,38,Female,2026-01-16,2026-01-22,5,1528.09,Fashion,Organic,Chennai,4.6,52,46,305.618,3,1,1,311,Potential Loyalists,0
CUST00008,Customer 8,customer8@email.com,9823756669,56,Female,2025-05-15,2026-02-11,24,5460.15,Home,Social Media,Pune,2.3,298,26,227.50625,4,2,3,423,Potential Loyalists,0
CUST00009,Customer 9,customer9@email.com,9883197857,36,Male,2026-01-17,2025-09-16,47,6182.89,Home,Referral,Delhi,2.3,51,174,131.55085106382978,1,4,3,143,At Risk,1
CUST00010,Customer 10,customer10@email.com,9821668732,40,Male,2025-09-20,2025-12-01,18,4853.72,Home,Organic,Kolkata,2.0,170,98,269.6511111111111,2,2,2,222,Lost,1
CUST00011,Customer 11,customer11@email.com,9889254563,28,Female,2024-04-08,2026-02-08,20,6029.77,Home,Organic,Kolkata,3.0,700,29,301.48850000000004,4,2,3,423,Potential Loyalists,0
CUST00012,Customer 12,customer12@email.com,9866629388,28,Female,2025-02-26,2026-01-14,28,1885.76,Fashion,Email,Bangalore,2.0,376,54,67.34857142857143,3,3,1,331,Champions,0
CUST00013,Customer 13,customer13@email.com,9814265799,41,Female,2025-04-01,2025-11-12,13,4848.18,Books,Organic,Chennai,3.9,342,117,372.9369230769231,2,1,2,212,Lost,1
CUST00014,Customer 14,customer14@email.com,9813999315,53,Male,2025-06-07,2025-12-04,5,6615.12,Sports,Paid Ads,Pune,3.6,275,95,1323.024,2,1,3,213,Lost,1
CUST00015,Customer 15,customer15@email.com,9822575562,57,Male,2025-01-22,2025-09-20,30,4383.79,Home,Social Media,Kolkata,2.6,411,170,146.12633333333332,1,3,2,132,At Risk,1
CUST00016,Customer 16,customer16@email.com,9839345092,41,Male,2025-08-16,2025-10-25,1,6826.53,Fashion,Social Media,Mumbai,3.9,205,135,6826.53,2,1,3,213,Lost,1
CUST00017,Customer 17,customer17@email.com,9841227216,20,Female,2024-05-10,2025-11-17,22,4566.79,Fashion,Organic,Delhi,1.4,668,112,207.58136363636365,2,2,2,222,Lost,1
CUST00018,Customer 18,customer18@email.com,9877827638,39,Male,2025-12-03,2026-02-06,18,3402.64,Home,Email,Kolkata,4.0,96,31,189.03555555555556,4,2,2,422,Potential Loyalists,0
CUST00019,Customer 19,customer19@email.com,9890801586,19,Female,2025-09-13,2026-02-03,46,3105.69,Electronics,Organic,Pune,3.4,177,34,67.515,4,4,2,442,Champions,0
CUST00020,Customer 20,customer20@email.com,9813561597,41,Female,2025-07-28,2026-01-18,5,4167.93,Fashion,Referral,Pune,3.5,224,50,833.586,3,1,2,312,Potential Loyalists,0
CUST00021,Customer 21,customer21@email.com,9885329037,61,Male,2024-08-11,2025-12-02,31,328.59,Sports,Social Media,Chennai,1.3,575,97,10.599677419354839,2,3,1,231,At Risk,1
CUST00022,Customer 22,customer22@email.com,9836687537,47,Female,2025-01-20,2025-12-17,6,6718.4,Sports,Referral,Chennai,3.5,413,82,1119.7333333333333,3,1,3,313,Potential Loyalists,0
CUST00023,Customer 23,customer23@email.com,9897226012,55,Male,2024-06-04,2025-11-19,27,8466.55,Electronics,Paid Ads,Chennai,3.0,643,110,313.5759259259259,2,3,4,234,At Risk,1
